,region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type,state,lat,long,drive_4wd,drive_fwd,drive_other,drive_rwd,fuel_diesel,fuel_gas,fuel_other,state_ut,state_va,state_vt,state_wa,transmission_automatic,transmission_manual,transmission_other,type_SUV,type_bus,type_convertible,type_coupe,type_hatchback,type_mini-van,type_offroad,type_other,type_pickup,type_sedan,type_truck,type_van,type_wagon
15835,0.6666666666666666,0.01110378595397003,0.34951456310679774,0.16216216216216217,0.016440314510364547,good,0.3333333333333333,gas,0.2285692244834985,0.5,manual,rwd,pickup,va,0.36159094812555614,0.8208775198922615,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15840,0.6666666666666666,0.025918710508966734,0.786407766990294,0.2702702702702703,0.3917083631165118,good,0.0,gas,0.4857128163223323,0.0,automatic,rwd,pickup,va,0.3765073879575511,0.8210009858280101,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15842,0.8,0.17036422492018458,0.3883495145631102,0.16216216216216217,0.02215868477483917,excellent,0.3333333333333333,gas,0.28380809267820745,0.0,manual,fwd,sedan,va,0.35479891952096687,0.8895511728314156,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15849,0.6666666666666666,0.04073363506396344,0.5048543689320404,0.16216216216216217,0.18834882058613295,good,0.3333333333333333,gas,0.28380809267820745,0.0,automatic,rwd,coupe,va,0.3697882240276469,0.8135170506457268,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15850,0.6666666666666666,0.07403017800131853,0.9611650485436911,0.7297297297297298,0.1283059328091494,excellent,1.0,gas,0.06714019182911951,1.0,automatic,fwd,sedan,va,0.37675200507970863,0.8212916056460022,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15851,0.6666666666666666,0.648357374176091,0.9223300970873787,0.2702702702702703,0.37026447462473194,excellent,0.0,gas,0.3009094311698033,0.0,automatic,4wd,SUV,va,0.3946194642364562,0.8698194168228985,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15852,0.6666666666666666,0.19258661175267963,0.9611650485436911,0.6216216216216217,0.31379556826304505,good,0.3333333333333333,gas,0.07078305938016966,0.0,automatic,rwd,sedan,va,0.19452786293113777,0.7348730485259116,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15853,0.6666666666666666,0.12369721257194498,0.9708737864077683,0.10810810810810811,0.3431022158684775,good,0.6666666666666666,gas,0.059688741967834184,0.0,automatic,fwd,other,va,0.1949078001634248,0.7342348246118893,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15854,0.6666666666666666,0.1074007955614486,0.9611650485436911,0.3783783783783784,0.9406719085060758,good,0.6666666666666666,gas,0.06500304286583676,0.0,automatic,fwd,coupe,va,0.1949078001634248,0.7342348246118893,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15855,0.6666666666666666,0.20666079007992652,0.9902912621359228,0.8108108108108109,0.006075768406004289,good,0.0,gas,0.06186874819642341,0.0,other,other,pickup,va,0.1949078001634248,0.7342348246118893,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
15856,0.6666666666666666,0.018140875117593463,0.8349514563106801,0.5945945945945946,0.09077912794853467,excellent,0.3333333333333333,gas,0.542855836730962,0.0,manual,fwd,coupe,va,0.3785684173272197,0.8275427809467366,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15858,0.6666666666666666,0.005918562359721183,0.8640776699029153,0.2702702702702703,0.35918513223731235,good,0.3333333333333333,gas,0.39159826170931916,0.0,automatic,other,SUV,va,0.3751854145739759,0.8176769029424782,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15859,0.6666666666666666,0.029622441647715908,0.6019417475728162,0.2702702702702703,0.3917083631165118,good,0.0,gas,0.04285440815545187,0.5,automatic,4wd,truck,va,0.34068399111050973,0.8211700391861885,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15860,0.6666666666666666,0.05921525344632183,0.9514563106796139,0.972972972972973,0.6654753395282345,excellent,1.0,gas,0.18904339726684932,1.0,automatic,fwd,sedan,va,0.37675200507970863,0.8212916056460022,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15861,0.6666666666666666,0.029622441647715908,0.786407766990294,0.16216216216216217,0.1401000714796283,good,0.3333333333333333,gas,0.28380809267820745,0.0,automatic,other,other,va,0.40276469394234327,0.8189210596796344,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15862,0.6666666666666666,0.1110674893888103,0.9514563106796139,0.6216216216216217,0.16547533952823446,excellent,0.3333333333333333,gas,0.21483489952828436,1.0,automatic,4wd,SUV,va,0.37675200507970863,0.8212916056460022,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15863,0.6666666666666666,0.05921525344632183,0.9611650485436911,0.7297297297297298,0.9460328806290208,excellent,1.0,gas,0.207926308360881,1.0,automatic,fwd,hatchback,va,0.37675200507970863,0.8212916056460022,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15864,0.6666666666666666,0.051807791168823475,0.8737864077669926,0.7297297297297298,0.13652609006433167,excellent,0.3333333333333333,gas,0.44714127754650723,0.0,automatic,4wd,SUV,va,0.37792304449429315,0.8199619724917895,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15868,0.6666666666666666,0.06073378321320899,0.9320388349514594,0.3783783783783784,0.33345246604717654,excellent,0.6666666666666666,gas,0.3349266712190606,0.0,automatic,other,sedan,va,0.37792304449429315,0.8199619724917895,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15870,0.6666666666666666,0.21851272972392388,0.9417475728155367,0.8378378378378379,0.368120085775554,excellent,0.6666666666666666,gas,0.1867005334300955,0.0,automatic,other,SUV,va,0.37700703144110714,0.8173596904614018,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
